一切	hVX OMS
抨擊	BtA dvT
抵制	EMR XNS
抵擋	EMR EqS
抵禦	EMR gJd
抵觸	EMR YDD
抵賴	EMR IOS
抵銷	EMR QiQ
抹煞	DcD VeT
抹黑	DcD ixT
抽筋	KyA dYc
抽籤	KyA O4Q
抽象	KyA RpR
抽驗	KyA g4a
拉麵	I2T DfC
拋售	BjA ZyC
拋棄	BjA eGW
拍手	BrD ayB
拍板	BrD AdB
拍照	BrD XiS
拍賣	BrD DPC
拒絕	fJd Pgj
拖把	FlS AnB
拖欠	FlS e8e
拘捕	dKs CLC
拘謹	dKs dYd
招募	XiQ DLC
招呼	XiQ iLA
招商	XiQ apQ
招待	XiQ GTR
招攬	XiQ I3R
招租	XiQ NLA
招聘	XiQ BuG
招股	XiQ dLB
招致	XiQ JGS
拜師	AQC VGQ
拜託	AQC FqT
拯救	XwR dyO
拱形	dDN jvQ
拳擊	fgo dvT
拳腳	fgo dpf
拳頭	fgo GzA
拼命	BvA DsK
拼圖	AuE GLA
拼寫	AuE QoR
拼湊	AuE OzC
拼盤	AuE CcA
拼音	AuE h1Y
持久	LHQ dyN
持續	LHQ RDD
指南	XGR H2Q
指導	XGR GkS
指尖	XGR N4Q
指揮	XGR iIs
指明	XGR DsI
指甲	XGR d7T
指紋	XGR DXM
指證	XGR XwS
指責	XGR StT
按壓	hcS h7T
按摩	hcS DlA
按時	hcS ZHQ
按照	hcS XiS
按鈕	hcS MyB
挪用	HlQ lDC
挽回	DZN jSg
挾持	j5T LHQ
捉弄	SED IAC
捐助	lgg UJS
捐款	lgg ech
捐贈	lgg PxS
捕捉	CLC SED
捕撈	CLC IkQ
捧場	BDN LpQ
捧腹	BDN ABP
捨棄	aoR eGW
掀起	iZc eHd
掃地	QkR GGS
掃帚	QkR XyB
掃描	QkR DiI
授權	ZyC fgo
掌心	XpR Q1Q
掌握	XpR hED
掌故	XpR dLC
掌櫃	XpR fGq
掌聲	XpR auQ
掌舵	XpR GlR
排印	CQA hVW
排名	CQA DuE
排場	CQA LpQ
排外	CQA gOi
排水	CQA aGh
排洪	CQA jAA
排演	CQA lgR
排球	CQA fyM
排練	CQA IfS
排骨	CQA daj
採用	OTR lDC
採礦	OTR drh
採納	OTR H2T
採訪	OTR BpO
採購	OTR dzC
採集	OTR P1T
探尋	F2Q R1Q
探測	F2Q TwT
探病	F2Q CsK
探知	F2Q JFQ
探究	F2Q dyO
探討	F2Q FkR
探訪	F2Q BpO
探險	F2Q i4Z
接力	N4T IwT
接受	N4T ZyB
接吻	N4T DXN
接壤	N4T cpR
接待	N4T GTR
接手	N4T ayB
接替	N4T FMS
接獲	N4T jtj
接班	N4T AdA
接管	N4T dch
接納	N4T H2T
接線	N4T QgS
接續	N4T RDD
接觸	N4T YDD
接踵	N4T XDB
接軌	N4T dGp
接送	N4T QAC
接連	N4T IgQ
掩護	h4Z jLC
描寫	DiI QoR
描繪	DiI jOi
描述	DiI bVj
插圖	T6T GLA
插座	T6T Pli
插手	T6T ayB
插曲	T6T eDP
插花	T6T ing
揚言	lpQ gZc
握手	hED ayB
揮動	iIs GAB
揮手	iIs ayB
揮發	iIs AZP
揮霍	iIs iqj
損失	Qah aVT
損害	Qah jOS
損毀	Qah iFq
損益	Qah huX
搓揉	OlQ cyA
搖動	liQ GAB
搖擺	liQ APB
搖晃	liQ jqh
搖籃	liQ I3Q
搖頭	liQ GzA
搗亂	EkR Ici
搗碎	EkR QSi
搭建	F3T dZe
搭配	F3T BSC
摒棄	AuG eGW
摧殘	PSg PcQ
摯友	XGS kyN
摯愛	XGS hTS
撕裂	QMQ IgT
撥款	AcD ech
撫慰	BKN hIu
撲克	BAD exT
撲救	BAD dyO
撲鼻	BAD CGG
擁戴	hDN ETS
擁抱	hDN CkB
擁有	hDN kyN
擁護	hDN jLC
擊退	dvT FSi
據悉	dJe QVT
據點	dJe E5R
擢升	LED awQ
擬議	gHd gFa
擴充	jqi YBA
擴展	jqi JgR
擴建	jqi dZe
擺動	APB GAB
擺設	APB agT
擾亂	ciR Ici
攀升	BdA awQ
攀爬	BdA CnA
攀談	BdA G3Q
攜帶	jMg EOS
攜手	jMg ayB
攪拌	djR BcA
支付	XFQ AKO
支持	XFQ LHQ
支架	XFQ dnS
支流	XFQ IyA
支線	XFQ QgS
支配	XFQ BSC
支隊	XFQ GSi
改動	dTR GAB
改善	dTR ZgR
改天	dTR FfQ
改嫁	dTR dnS
改寫	dTR QoR
改建	dTR dZe
改期	dTR fHc
改正	dTR XuS
改用	dTR lDC
改組	dTR NLB
改良	dTR IpQ
改變	dTR AgK
改進	dTR NVS
改道	dTR GkR
改革	dTR dtT
政務	XuS DKO
政客	XuS erT
政局	XuS fDP
政府	XuS AKN
政改	XuS dTR
政權	XuS fgo
政界	XuS dQS
政策	XuS TtT
政績	XuS NvT
政黨	XuS EqR
故園	dLC kZs
故宮	dLC dBM
故意	dLC hHe
故此	dLC OFR
故鄉	dLC ipc
故里	dLC IHR
效力	jjS IwT
效應	jjS hwe
效果	jjS dlh
效法	jjS A9P
效用	jjS lDC
效益	jjS huX
敏感	DVJ d2R
敏捷	DVJ P4T
救亡	dyO DpM
救命	dyO DsK
救國	dyO dxj
救護	dyO jLC
救贖	dyO bDD
敘述	RJR bVj
教友	djS kyN
教堂	djS GqQ
敬佩	dsa CSC
敬意	dsa hHe
敬業	dsa g8f
敬畏	dsa hIu
整個	XuR dlS
整天	XuR FfQ
整潔	XuR dfT
整理	XuR IHR
整頓	XuR Eai
整體	XuR FMR
敵人	GvT cVQ
敵對	GvT ESi
敵意	GvT hHe
敵軍	GvT dXs
敷設	BKM agT
斃命	CNG DsK
文人	DXM cVQ
文件	DXM fgZ
文具	DXM fKu
文化	DXM ini
文員	DXM kXs
文字	DXM PHS
文學	DXM jED
文憑	DXM CwI
文明	DXM DsI
文書	DXM aJQ
文本	DXM AaB
文火	DXM ilh
文物	DXM DXP
文科	DXM elg
文章	DXM XpQ
文筆	DXM AVL
文職	DXM XwT
文藝	DXM gNW
文體	DXM FMR
斐然	BIN cgQ
斑斕	AdA IeQ
斑紋	AdA DXM
斑馬	AdA DnB
斑駁	AdA AED
斑點	AdA E5R
斟酌	X1Q XpT
斥資	YuT NGQ
新人	QVQ cVQ
新型	QVQ jvQ
新娘	QVQ MpQ
新婚	QVQ iag
新年	QVQ HfQ
新式	QVQ awT
新潮	QVQ LiQ
新穎	QVQ luh
旁人	CqA cVQ
旁證	CqA XwS
旁邊	CqA AfA
旅客	IJR erT
旅社	IJR ZoR
旅程	IJR LuQ
旅舍	IJR aoR
旅遊	IJR lyA
旅館	IJR dci
族人	PAD cVQ
族譜	PAD ALB
旗杆	fHc dcS
旗艦	fHc j7R
旗袍	fHc CkA
日光	cVT dqg
日前	cVT PfQ
日報	cVT AkC
日夜	cVT loS
日子	cVT NHR
日常	cVT ZpQ
日期	cVT fHc
日照	cVT XiS
日益	cVT huX
日記	cVT dHe
日趨	cVT OKg
日間	cVT deS
早安	NkR hcQ
早年	NkR HfQ
早日	NkR cVT
早晨	NkR bVQ
早期	NkR fHc
早熟	NkR ZBD
早餐	NkR OcQ
旭日	iDP cVT
昂貴	gqQ dIu
昌明	YpQ DsI
明亮	DsI IpS
明天	DsI FfQ
明媚	DsI DGK
明年	DsI HfQ
明文	DsI DXM
明日	DsI cVT
明星	DsI QvQ
明智	DsI JFS
明月	DsI gZv
明朗	DsI IqR
明滅	DsI DgH
明白	DsI CrD
明確	DsI eED
明證	DsI XwS
明顯	DsI ifR
昏暗	iag h2S
昏睡	iag ZFi
昔日	QuT cVT
星座	QvQ Pli
星星	QvQ QvQ
星期	QvQ fHc
星球	QvQ fyM
星辰	QvQ ZVQ
星際	QvQ NNS
映照	hsa XiS
映襯	hsa TWS
春天	YVg FfQ
春季	YVg dGm
春日	YVg cVT
春暉	YVg iIs
春秋	YVg OyA
春節	YVg NfT
春色	YVg VwT
昨夜	PqT loS
昨天	PqT FfQ
昨晚	PqT DZN
是非	ZFR AIM
時代	ZHQ GTS
時刻	ZHQ exT
時勢	ZHQ aNS
時報	ZHQ AkC
時宜	ZHQ gFY
時局	ZHQ fDP
時常	ZHQ ZpQ
時序	ZHQ RJR
時期	ZHQ fHc
時機	ZHQ dIc
時段	ZHQ Gci
時節	ZHQ NfT
時而	ZHQ cHQ
時辰	ZHQ ZVQ
時鐘	ZHQ XDA
時間	ZHQ deS
時限	ZHQ jeR
時髦	ZHQ DkA
晃動	jqh GAB
晉級	NVS d1b
晚安	DZN hcQ
晚宴	DZN hfS
晚期	DZN fHc
晚輩	DZN ASC
晚間	DZN deS
晚霞	DZN jnQ
晚餐	DZN OcQ
晝夜	JyC loS
晨曦	bVQ iFY
普及	BLB f1b
普照	BLB XiS
普羅	BLB IlQ
普通	BLB FAA
普遍	BLB AfC
景況	dsZ ipu
景物	dsZ DXP
景致	dsZ JGS
景色	dsZ VwT
景象	dsZ RpR
景點	dsZ E5R
晶片	NuQ BfC
晶體	NuQ FMR
智力	JFS IwT
智慧	JFS jMi
暑期	aJR fHc
暖意	Hch hHe
暖流	Hch IyA
暗喻	h2S lKi
暗室	h2S aVT
暗戀	h2S Igi
暗自	h2S PGS
暢快	KpS eRi
暢旺	KpS kpu
暢通	KpS FAA
暫停	P3S GvQ
暫時	P3S ZHQ
暫緩	P3S jch
暮色	DLC VwT
曆法	IvT A9P
曇花	G2Q ing
曉得	ihR ExT
曙光	ZJS dqg
曲子	eDP NHR
曲尺	eDP YuT
曲目	eDP DBP
曲線	eDP QgS
曲藝	eDP gNW
書刊	aJQ ecQ
書包	aJQ AjA
書寫	aJQ QoR
書本	aJQ AaB
書桌	aJQ JED
書櫃	aJQ fGq
書法	aJQ A9P
書生	aJQ VsQ
書目	aJQ DBP
書籍	aJQ PuT
書籤	aJQ O4Q
書記	aJQ dHe
書面	aJQ DgG
替代	FMS GTS
替身	FMS aVQ
最初	NOi TJQ
最終	NOi XBA
月亮	gZv IpS
月份	gZv AVI
月刊	gZv ecQ
月初	gZv TJQ
月季	gZv dGm
月曆	gZv IvT
月球	gZv fyM
月臺	gZv GTQ
月薪	gZv QVQ
月餅	gZv AuF
有利	kyN IGS
有力	kyN IwT
有名	kyN DuE
有害	kyN jOS
有意	kyN hHe
有效	kyN jjS
有時	kyN ZHQ
有機	kyN dIc
有理	kyN IHR
有益	kyN huX
有關	kyN ddg
有限	kyN jeR
有點	kyN E5R
朋友	CxA kyN
服侍	CBP ZHS
服刑	CBP jvQ
服務	CBP DKO
服用	CBP lDC
服飾	CBP awT
朗誦	IqR RDC
期待	fHc GTR
期盼	fHc BeC
期許	fHc iJd
期貨	fHc ili
期間	fHc deS
期限	fHc jeR
木工	DAD dAA
木材	DAD PTQ
木板	DAD AdB
木瓜	DAD dng
木筏	DAD CZP
木耳	DAD cHR
木頭	DAD GzA
未來	DIO ITQ
未嘗	DIO ZpQ
未婚	DIO iag
未必	DIO AVH
末代	DcD GTS
末日	DcD cVT
末期	DcD fHc
末端	DcD Ecg
本人	AaB cVQ
本來	AaB ITQ
本利	AaB IGS
本地	AaB GGS
本子	AaB NHR
本性	AaB QuS
本息	AaB QwT
本意	AaB hHe
本科	AaB elg
本身	AaB aVQ
本金	AaB d1Y
本領	AaB IuR
本體	AaB FMR
李子	IHR NHR
杏仁	jrR cVQ
村子	Oag NHR
村民	Oag DVE
村莊	Oag SpQ
村落	Oag IqT
杜鵑	GLB dfg
東北	EAA AxD
東南	EAA H2Q
東西	EAA QMQ
松鼠	RDA aJR
板凳	AdB ExS
板塊	AdB eSi
板書	AdB aJQ
林地	I1Q GGS
林木	I1Q DAD
林業	I1Q g8f
林立	I1Q I1T
果仁	dlh cVQ
果園	dlh kZs
果子	dlh NHR
果實	dlh bVT
果汁	dlh X1T
果然	dlh cgQ
果皮	dlh CFI
果糖	dlh GqQ
果肉	dlh cBD
果醬	dlh NpS
枝節	XFQ NfT
架勢	dnS aNS
架子	dnS NHR
架構	dnS dzC
架次	dnS OGS
柏油	ArD lyA
柑橘	d3Q dVn
柔弱	cyA cpT
柔情	cyA PuQ
柔美	cyA DGJ
柔軟	cyA cgh
柔韌	cyA cVS
柔順	cyA bVi
核子	jtT NHR
核心	jtT Q1Q
核電	jtT GfS
根基	dbQ dHc
根底	dbQ EMR
根據	dbQ dJe
根本	dbQ AaB
根源	dbQ gZs
桂圓	dMi kgo
桂花	dMi ing
桃仁	GkQ cVQ
桃花	GkQ ing
框架	eps dnS
案件	hcS fgZ
案例	hcS INS
案情	hcS PuQ
桌子	JED NHR
桔梗	dfT drR
梅子	DSA NHR
條件	GhQ fgZ
條例	GhQ INS
條款	GhQ ech
條碼	GhQ DnB
梯級	FMQ d1b
梳理	VJQ IHR
棄權	eGW fgo
棄置	eGW JHS
棉花	DgE ing
棉襖	DgE hkR
棒球	CEB fyM
棘手	dwf ayB
森林	V1Q I1Q
棲息	QMQ QwT
椰子	loQ NHR
椰汁	loQ X1T
楊柳	lpQ IyB
業主	g8f XKh
業務	g8f DKO
業界	g8f dQS
業績	g8f NvT
業餘	g8f lJQ
極力	fwf IwT
極品	fwf B1J
極地	fwf GGS
極端	fwf Ecg
極點	fwf E5R
榛子	SWQ NHR
榮幸	kso jtR
榮獲	kso jtj
榮耀	kso liS
榴槤/流連	IyA IgQ
構建	dzC dZe
構成	dzC ZuQ
構築	dzC JBD
樓市	IzA ZHR
樞機	YKg dIc
樞紐	YKg MyB
樟木	XpQ DAD
模仿	DLA BpN
模具	DLA fKu
模型	DLA jvQ
模式	DLA awT
模擬	DLA gHd
模範	DLA C9N
模糊	DLA jLA
橄欖	d3R I3R
橋面	fiY DgG
機件	dIc fgZ
機制	dIc XNS
機動	dIc GAB
機器	dIc eGa
機場	dIc LpQ
機械	dIc jQS
機構	dIc dzC
機組	dIc NLB
機關	dIc ddg
機電	dIc GfS
機靈	dIc IvQ
機體	dIc FMR
橡皮	RpR CFI
檔案	EqQ hcS
檢察	d4Z TeT
檢測	d4Z TwT
檢疫	d4Z luj
檢閱	d4Z lgj
檢驗	d4Z g4a
檢點	d4Z E5R
檸檬	MrR DAA
櫃檯	fGq GTQ
櫻桃	htQ GkQ
權利	fgo IGS
權力	fgo IwT
權威	fgo hIs
權宜	fgo gFY
權益	fgo huX
權術	fgo bVj
權衡	fgo jrQ
權謀	fgo DyM
權貴	fgo dIu
次品	OGS B1J
次序	OGS RJR
次貨	OGS ili
欣喜	iYc iHd
欣慰	iYc hIu
欣然	iYc cgQ
欣賞	iYc apR
欺壓	eHc h7T
欺詐	eHc SnS
款式	ech awT
款項	ech jEB
歇息	iZf QwT
歌劇	dlQ fsb
歌唱	dlQ YpS
歌壇	dlQ GcQ
歌手	dlQ ayB
歌曲	dlQ eDP
歌聲	dlQ auQ
歌舞	dlQ DKN
歌詞	dlQ RHQ
歌謠	dlQ liQ
歌迷	dlQ DMA
歡喜	icg iHd
歡心	icg Q1Q
歡快	icg eRi
歡愉	icg lKg
歡欣	icg iYc
止痛	XHR FAC
此刻	OFR exT
此地	OFR GGS
此外	OFR gOi
步伐	CLC CZP
步驟	CLC UyC
武俠	DKN j5T
武力	DKN IwT
武功	DKN dAA
武器	DKN eGa
武士	DKN UHR
武藝	DKN gNW
武術	DKN bVj
歲月	QNi gZv
歷代	IvT GTS
歷來	IvT ITQ
歷史	IvT VHR
歷屆	IvT dQS
歷時	IvT ZHQ
歷程	IvT LuQ
歷練	IvT IfS
歷險	IvT i4Z
歸化	dIs ini
歸屬	dIs ZDD
歸納	dIs H2T
死亡	QGR DpM
死人	QGR cVQ
死刑	QGR jvQ
死因	QGR hVU
死寂	QGR PvT
死者	QGR XoR
死鬼	QGR dIt
死黨	QGR EqR
殉職	RVi XwT
殊榮	ZKg kso
殖民	ZwT DVE
殘局	PcQ fDP
殘廢	PcQ AUO
殘渣	PcQ SnQ
殘疾	PcQ PVT
殘破	PcQ BlC
殘酷	PcQ eCD
殘餘	PcQ lJQ
殯殮	AVG I4S
殲滅	N4Q DgH
段落	Gci IqT
毀滅	iFq DgH
毅然	gIe cgQ
母體	DzB FMR
毒品	GCD B1J
毒物	GCD DXP
毒素	GCD QLC
毒藥	GCD lpT
毗連	CGE IgQ
毗鄰	CGE IVQ
毛利	DkA IGS
毛孔	DkA eAB
毛巾	DkA dVY
毛病	DkA CsK
毛皮	DkA CFI
毛筆	DkA AVL
毛髮	DkA AZP
毫克	jkQ exT
毫升	jkQ awQ
毫米	jkQ DMB
民主	DVE XKh
民俗	DVE RDD
民兵	DVE AsI
民國	DVE dxj
民宅	DVE LrT
民心	DVE Q1Q
民政	DVE XuS
民族	DVE PAD
民歌	DVE dlQ
民營	DVE lug
民生	DVE VsQ
民航	DVE jqQ
民謠	DVE liQ
民間	DVE deS
水位	aGh kGq
水利	aGh IGS
水坑	aGh erQ
水域	aGh kwr
水塘	aGh GqQ
水壓	aGh h7T
水壺	aGh jLA
水庫	aGh eLC
水彩	aGh OTR
水患	aGh jdi
水手	aGh ayB
水文	aGh DXM
水晶	aGh NuQ
水果	aGh dlh
水池	aGh LFQ
水泡	aGh BjA
水流	aGh IyA
水渠	aGh fJc
水源	aGh gZs
水溫	aGh hag
水漬	aGh PFS
水療	aGh IiS
水管	aGh dch
水腫	aGh XDB
水花	aGh ing
水貨	aGh ili
水路	aGh ILC
水道	aGh GkR
水鄉	aGh ipc
水銀	aGh gVY
水陸	aGh IBD
水面	aGh DgG
永久	ksp dyN
汁液	X1T luT
求助	fyM UJS
求情	fyM PuQ
求愛	fyM hTS
求生	fyM VsQ
求知	fyM JFQ
求職	fyM XwT
求證	fyM XwS
江南	dEA H2Q
江山	dEA VeQ
江湖	dEA jLA
池塘	LFQ GqQ
沉寂	L1Q PvT
沉淪	L1Q IVg
沉澱	L1Q GfS
沉睡	L1Q ZFi
沉迷	L1Q DMA
沉醉	L1Q NGi
沉默	L1Q DxD
沐浴	DAD lDD
河水	jlQ aGh
河流	jlQ IyA
河馬	jlQ DnB
沸水	AIO aGh
沸騰	AIO GxQ
油煙	lyA hfQ
油門	lyA DaA
沿岸	lgg gcS
沿海	lgg iTR
沿用	lgg lDC
沿線	lgg QgS
沿路	lgg ILC
沿途	lgg GLA
泉水	Pgg aGh
泉源	Pgg gZs
法人	A9P cVQ
法典	A9P EfR
法制	A9P XNS
法則	A9P NxT
法力	A9P IwT
法學	A9P jED
法官	A9P dcg
法定	A9P GvS
法師	A9P VGQ
法庭	A9P GvQ
法律	A9P IVj
法案	A9P hcS
法理	A9P IHR
法紀	A9P dHd
法規	A9P dFk
泡菜	BjA OTS
波動	AlA GAB
波及	AlA f1b
波濤	AlA GkQ
注意	XKi hHe
注資	XKi NGQ
泰斗	FOS EzB
洋溢	lpQ lVT
津貼	NVQ F5T
洪水	jAA aGh
洪流	jAA IyA
洽商	j6T apQ
派對	BPC ESi
派系	BPC jMS
派駐	BPC JKi
流亡	IyA DpM
流動	IyA GAB
流域	IyA kwr
流失	IyA aVT
流感	IyA d2R
流星	IyA QvQ
流暢	IyA KpS
流氓	IyA DtA
流水	IyA aGh
流派	IyA BPC
流淚	IyA IGi
流程	IyA LuQ
流落	IyA IqT
流血	IyA ifj
流通	IyA FAA
流逝	IyA ZNS
流露	IyA ILC
流體	IyA FMR
浮動	CyM GAB
浮沉	CyM L1Q
浮游	CyM lyA
浮現	CyM jfS
浴缸	lDD jEA
海口	iTR ezB
海味	iTR DIO
海員	iTR kXs
海嘯	iTR QhS
海域	iTR kwr
海報	iTR AkC
海外	iTR gOi
海岸	iTR gcS
海峽	iTR j6T
海帶	iTR EOS
海水	iTR aGh
海洋	iTR lpQ
海港	iTR dEB
海潮	iTR LiQ
海灣	iTR hdg
海獅	iTR VGQ
海盜	iTR GkS
海綿	iTR DgE
海膽	iTR E3R
海藻	iTR NkR
海螺	iTR Ilg
海豚	iTR Gag
海豹	iTR AjC
海軍	iTR dXs
海運	iTR kXu
海關	iTR ddg
海面	iTR DgG
海鳥	iTR EhR
海鷗	iTR hzA
浸泡	N1S BjA
浸透	N1S FzC
消化	QiQ ini
消失	QiQ aVT
消弭	QiQ DFF
消息	QiQ QwT
消暑	QiQ aJR
消極	QiQ fwf
消毒	QiQ GCD
消沉	QiQ L1Q
消滅	QiQ DgH
消瘦	QiQ VyC
消退	QiQ FSi
消逝	QiQ ZNS
消閒	QiQ deQ
液晶	luT NuQ
液體	luT FMR
淋巴	I1Q AnA
淋浴	I1Q lDD
淋漓	I1Q IFQ
淒厲	OMQ INS
淒美	OMQ DGJ
淒迷	OMQ DMA
淚水	IGi aGh
淚珠	IGi XKg
淚眼	IGi geR
淨值	PuS LHS
淨化	PuS ini
淪落	IVg IqT
淪陷	IVg j6S
淫穢	l1Q hUu
淵博	hfg AqD
淵源	hfg gZs
混亂	jah Ici
混戰	jah XgS
混淆	jah jjQ
混雜	jah P2T
淺白	OgR CrD
淺色	OgR VwT
添加	F5Q dnQ
添置	F5Q JHS
清幽	OuQ h0U
清新	OuQ QVQ
清早	OuQ NkR
清明	OuQ DsI
清晨	OuQ bVQ
清楚	OuQ TJS
清潔	OuQ dfT
清澈	OuQ LgT
清爽	OuQ VpR
清理	OuQ IHR
清白	OuQ CrD
清盤	OuQ CcA
清算	OuQ Qch
清脆	OuQ ONi
清蒸	OuQ XwQ
清貧	OuQ CVI
清雅	OuQ gnR
清靜	OuQ PuR
清香	OuQ ipc
減壓	d6R h7T
減弱	d6R cpT
減肥	d6R CIM
渡輪	GLC IVg
渣滓	SnQ SHR
測繪	TwT jOi
測驗	TwT g4a
港人	dEB cVQ
港口	dEB ezB
港府	dEB AKN
游泳	lyA ksq
渺茫	DiF DqA
湍急	Fcg d1b
湍流	Fcg IyA
湖泊	jLA CqD
湖畔	jLA CcC
源流	gZs IyA
源自	gZs PGS
源頭	gZs GzA
溜冰	IyC AwI
溝渠	dzA fJc
溝通	dzA FAA
溪流	eMQ IyA
溫婉	hag hZt
溫室	hag aVT
溫帶	hag EOS
溫床	hag UpQ
溫情	hag PuQ
溫暖	hag Hch
溫柔	hag cyA
溫泉	hag Pgg
溫潤	hag cVi
溫熱	hag cgT
溫習	hag R1T
溫飽	hag AjB
溫馨	hag ivQ
滅亡	DgH DpM
滅火	DgH ilh
滅絕	DgH Pgj
滋味	NHQ DIO
滋擾	NHQ ciR
滋潤	NHQ cVi
滋生	NHQ VsQ
滋補	NHQ ALB
滔滔	FkQ FkQ
滲入	V1S c1T
滴水	EvT aGh
滿天	DcB FfQ
滿座	DcB Pli
滿意	DcB hHe
滿目	DcB DBP
漁業	gJc g8f
漁船	gJc bgg
漆器	OVT eGa
漏水	IzC aGh
演化	lgR ini
演員	lgR kXs
演唱	lgR YpS
演奏	lgR NzC
演技	lgR fFZ
演練	lgR IfS
演繹	lgR luT
演習	lgR R1T
演藝	lgR gNW
演講	lgR dEB
演變	lgR AgK
漠然	DqD cgQ
漢子	icS NHR
漢字	icS PHS
漣漪	IgQ hFY
漫天	DcC FfQ
漫步	DcC CLC
漫遊	DcC lyA
潔淨	dfT PuS
潔白	dfT CrD
潤澤	cVi LrT
潮水	LiQ aGh
潮汐	LiQ RuT
潮流	LiQ IyA
潰瘍	jSi lpQ
澱粉	GfS AXN
激情	dvT PuQ
激昂	dvT gqQ
激流	dvT IyA
激烈	dvT IgT
激發	dvT AZP
濃密	MDA DVL
濃烈	MDA IgT
濃縮	MDA VBD
濃郁	MDA hBP
濱海	AVE iTR
灌注	dci XKi
火光	ilh dqg
火勢	ilh aNS
火化	ilh ini
火山	ilh VeQ
火星	ilh QvQ
火柴	ilh UPQ
火炭	ilh FcS
火炮	ilh BjC
火焰	ilh l4S
火熱	ilh cgT
火爐	ilh ILA
火箭	ilh NgS
火紅	ilh jAA
火腿	ilh FSh
火舌	ilh bgT
火花	ilh ing
火葬	ilh NqS
火藥	ilh lpT
火警	ilh dsZ
火速	ilh QAD
火鍋	ilh dlg
火雞	ilh dMQ
灰塵	iSg LVQ
灰燼	iSg PVS
灰色	iSg VwT
灼熱	XpT cgT
灼痛	XpT FAC
災民	NTQ DVE
災禍	NTQ jlh
炊具	YFg fKu
炎熱	k4Y cgT
炒家	TjR dnQ
炒菜	TjR OTS
炒麵	TjR DfC
炫耀	jfi liS
炮兵	BjC AsI
烈士	IgT UHR
烈日	IgT cVT
烈焰	IgT l4S
烏黑	hLA ixT
烙印	IqT hVW
烽火	BDM ilh
焊接	icR N4T
無力	DKM IwT
無助	DKM UJS
無常	DKM ZpQ
無形	DKM jvQ
無心	DKM Q1Q
無恙	DKM lpS
無情	DKM PuQ
無意	DKM hHe
無故	DKM dLC
無效	DKM jjS
無敵	DKM GvT
無暇	DKM jnS
無機	DKM dIc
無法	DKM A9P
無理	DKM IHR
無瑕	DKM jnQ
無異	DKM lHS
無疑	DKM gHc
無益	DKM huX
無知	DKM JFQ
無禮	DKM IMR
無私	DKM QGQ
無窮	DKM fBM
無端	DKM Ecg
無緣	DKM lgg
無聊	DKM IhQ
無聲	DKM auQ
無言	DKM gZc
無誤	DKM gLC
無論	DKM Iag
無謂	DKM kIu
無賴	DKM IOS
無辜	DKM dLA
無間	DKM deS
無關	DKM ddg
無限	DKM jeR
無際	DKM NNS
無須/無需	DKM QKg
無非	DKM AIM
焦急	NiQ d1b
焦慮	NiQ IJS
焦躁	NiQ NkS
焦點	NiQ E5R
然而	cgQ cHQ
煙火	hfQ ilh
煙花	hfQ ing
煤油	DSA lyA
煤炭	DSA FcS
煤礦	DSA drh
煥發	ici AZP
照例	XiS INS
照明	XiS DsI
照片	XiS BfC
照耀	XiS liS
照顧	XiS dLC
煩亂	CZM Ici
煩悶	CZM DaC
煩惱	CZM HkR
煩瑣	CZM Qlh
熄滅	QwT DgH
熄火	QwT ilh
熒幕	jvg DqD
熟客	ZBD erT
熟悉	ZBD QVT
熟睡	ZBD ZFi
熟絡	ZBD IqT
熟練	ZBD IfS
熟習	ZBD R1T
熬藥	gkQ lpT
熱力	cgT IwT
熱帶	cgT EOS
熱心	cgT Q1Q
熱忱	cgT Z1Q
熱情	cgT PuQ
熱愛	cgT hTS
熱烈	cgT IgT
熱線	cgT QgS
熱血	cgT ifj
熱誠	cgT ZuQ
熱身	cgT aVQ
熱門	cgT DaA
熱點	cgT E5R
熾烈	YHS IgT
熾熱	YHS cgT
燃點	cgQ E5R
燈光	ExQ dqg
燈塔	ExQ F3T
營地	lug GGS
營建	lug dZe
營救	lug dyO
營業	lug g8f
營辦	lug CeC
營運	lug kXu
燦爛	OcS IcS
爐子	ILA NHR
爐火	ILA ilh
爬山	CnA VeQ
爭執	StQ X1T
爭奪	StQ Gcj
爭持	StQ LHQ
爭議	StQ gFa
爭辯	StQ CgJ
爭鬥	StQ EzC
爵士	NpT UHR
爸爸	ClB ClB
爽朗	VpR IqR
牆壁	PpQ AvD
牆紙	PpQ XFR
牆角	PpQ dED
片刻	BfC exT
片段	BfC Gci
片面	BfC DgG
版圖	AdB GLA
版本	AdB AaB
版權	AdB fgo
牙籤	gnQ O4Q
牙醫	gnQ hHc
牙關	gnQ ddg
牙齒	gnQ YHR
牛市	gyM ZHR
牛排	gyM CQA
牛肉	gyM cBD
謀利/牟利	DyM IGS
牡丹	DzB EcQ
牧師	DBP VGQ
牧童	DBP GAA
物件	DXP fgZ
物價	DXP dnS
物力	DXP IwT
物化	DXP ini
物品	DXP B1J
物業	DXP g8f
物流	DXP IyA
物理	DXP IHR
物色	DXP VwT
物證	DXP XwS
物資	DXP NGQ
物體	DXP FMR
牲口	VsQ ezB
特價	GxT dnS
特刊	GxT ecQ
特別	GxT CgL
特地	GxT GGS
特定	GxT GvS
特寫	GxT QoR
特性	GxT QuS
特惠	GxT jMi
特意	GxT hHe
特技	GxT fFZ
特權	GxT fgo
特殊	GxT ZKg
特派	GxT BPC
